省份编码,省份,年份,所属区域,推荐建模样本标记,基准因变量,稳健性因变量_住院率,稳健性因变量_两周就诊率,PM2.5,PM10,SO2,NO2,O3,CO,ln_常住人口,ln_人均GDP,常住人口_万人,人均GDP_元,地区生产总值_亿元,城镇化率,第二产业占比,医疗卫生机构数_个,医院数_个,城镇人口_万人,第二产业增加值_亿元,污染覆盖月份数,污染数据是否完整年
27,辽宁,2019,东部,1,17.8,14.0,44.3,42.66666666666666,77.25,21.25,36.5,121.1666666666667,1.6,8.361007108226909,11.002251805340993,4277,60009.11854103344,25665.9,0.7121814355856909,0.3705422369759096,34238,1364.0,3046,9510.3,12,是
28,重庆,2019,西部,1,33.7,25.5,69.5,38.5,60.08333333333334,7.5,40.25,122.0833333333333,1.075,8.067149039910106,11.215982744314855,3188,74308.6574654956,23689.6,0.6822459222082811,0.382437863028502,21057,846.0,2175,9059.8,12,是
29,陕西,2019,西部,1,33.7,25.5,69.5,57.41666666666666,96.91666666666669,8.583333333333334,47.58333333333334,124.9166666666667,1.275,8.279950715722526,11.104457628028616,3944,66466.78498985802,26214.5,0.6128296146044625,0.4421293558908238,35404,1208.0,2417,11590.2,12,是
30,青海,2019,西部,1,33.7,25.5,69.5,34.58333333333334,61.16666666666666,16.58333333333333,37.25,108.9166666666667,1.783333333333333,6.380122536899765,10.843296168418107,590,51189.83050847457,3020.2,0.588135593220339,0.3880537712734256,6513,220.0,347,1172.0,12,是
31,黑龙江,2019,中部,1,20.8,15.6,37.1,41.75,67.0,16.58333333333333,32.5,98.0,1.1,8.08794755464267,10.666523260710969,3255,42895.54531490016,13962.5,0.6460829493087558,0.2627036705461057,20375,1144.0,2103,3668.0,12,是
1,上海,2020,东部,1,16.9,13.1,42.5,31.66666666666667,41.16666666666666,6.333333333333333,37.0,139.0,0.9666666666666668,7.81923445385907,12.02705510997221,2488,167218.2475884244,41603.9,0.8930868167202572,0.2489357968844267,5897,398.0,2222,10356.7,12,是
2,云南,2020,西部,1,32.0,25.4,67.3,23.58333333333333,42.16666666666666,9.083333333333334,25.33333333333333,109.75,0.8583333333333334,8.459987717645458,10.885527159178356,4722,53397.92460821685,25214.5,0.5004235493434985,0.3342441848936128,26626,1445.0,2363,8427.8,12,是
3,内蒙古,2020,西部,1,32.0,25.4,67.3,39.83333333333334,70.33333333333333,12.5,32.41666666666666,115.8333333333333,1.042857142857143,7.784473235736469,11.202849979657573,2403,73339.1593841032,17623.4,0.6749895963379109,0.3852661801922443,24549,777.0,1622,6789.7,12,是
4,北京,2020,东部,1,16.9,13.1,42.5,38.16666666666666,57.0,3.75,29.25,128.0833333333333,1.216666666666667,7.691200097522863,12.077647296851243,2189,175895.8428506167,38503.6,0.8752855185015989,0.153227230700506,10599,651.0,1916,5899.8,12,是
5,吉林,2020,中部,1,20.1,15.5,35.5,42.08333333333334,59.58333333333334,9.916666666666666,31.83333333333333,114.0,1.041666666666667,7.782807262839695,10.86097703162686,2399,52102.95956648604,12499.5,0.6265110462692789,0.3469978799151966,25616,812.0,1503,4337.3,12,是
6,四川,2020,西部,1,32.0,25.4,67.3,40.83333333333334,63.91666666666666,6.083333333333333,36.83333333333334,131.75,0.9666666666666668,9.032528630660057,10.986429983467358,8371,59067.13654282643,49445.1,0.5673157328873492,0.3558451696932557,82793,2435.0,4749,17594.8,12,是
